Year,Days_over_25,Calculation
2072,46.294117647058826,"Calculate days over 25, then average across stations"
2073,70.82352941176471,"Calculate days over 25, then average across stations"
2074,43.23529411764706,"Calculate days over 25, then average across stations"
2075,61.64705882352941,"Calculate days over 25, then average across stations"
2076,59.35294117647059,"Calculate days over 25, then average across stations"
2077,57.705882352941174,"Calculate days over 25, then average across stations"
2078,65.70588235294117,"Calculate days over 25, then average across stations"
2079,54.88235294117647,"Calculate days over 25, then average across stations"
2080,61.05882352941177,"Calculate days over 25, then average across stations"
2081,78,"Calculate days over 25, then average across stations"
2082,49.35294117647059,"Calculate days over 25, then average across stations"
2083,48.23529411764706,"Calculate days over 25, then average across stations"
2084,97.94117647058823,"Calculate days over 25, then average across stations"
2085,62.11764705882353,"Calculate days over 25, then average across stations"
2086,48.529411764705884,"Calculate days over 25, then average across stations"
2087,58,"Calculate days over 25, then average across stations"
2088,56.94117647058823,"Calculate days over 25, then average across stations"
2089,83.6470588235294,"Calculate days over 25, then average across stations"
2090,86.11764705882354,"Calculate days over 25, then average across stations"
2091,61.88235294117647,"Calculate days over 25, then average across stations"
2092,88.3529411764706,"Calculate days over 25, then average across stations"
2093,50.8235294117647,"Calculate days over 25, then average across stations"
2094,59.411764705882355,"Calculate days over 25, then average across stations"
2095,74,"Calculate days over 25, then average across stations"
2096,57.35294117647059,"Calculate days over 25, then average across stations"
2097,85.05882352941177,"Calculate days over 25, then average across stations"
2098,85.41176470588235,"Calculate days over 25, then average across stations"
2099,66.6470588235294,"Calculate days over 25, then average across stations"
